MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
235091234,2026-09-04T01:16:47,53.17,3.36,14.9,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T01:46:47,53.18417,3.37583,14.5,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T02:16:47,53.19833,3.39167,14.6,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T02:46:47,53.2125,3.4075,14.7,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T03:16:47,53.22667,3.42333,14.2,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T03:46:47,53.24083,3.43917,5.1,73.2,73.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T04:16:47,53.255,3.455,5.1,73.2,73.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T04:46:47,53.26917,3.47083,5.1,73.2,73.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T05:16:47,53.28333,3.48667,14.2,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T05:46:47,53.2975,3.5025,14.9,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T06:16:47,53.31167,3.51833,15.2,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T06:46:47,53.32583,3.53417,14.4,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
235091234,2026-09-04T07:16:47,53.34,3.55,14.3,48.2,48.2,OCEAN IMPERIAL,IMO9482710,MBXZ9,80,0,245,42,11.5,80
